institution,school_type,state,testing_info_link,rtc_model,last_updated,testing,testing_type,test_initial,test_recurring,test_freq,test_vendor,test_pool,endowment,enrollment,endowment_per_fte_enrollment
University of Mary Hardin-Baylor,Private,TX,https://go.umhb.edu/resources/registrar/cruflex-faq,Proposing a hybrid model,,,,,,,,,88196796,3888,25963
University of Mary Washington,Public,VA,https://www.umw.edu/returntocampus/wp-content/uploads/sites/52/2020/07/ForwardUMW-Fall2020Plan-Final-SCHEVCert-7-24-20.pdf,Planning for in-person,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,50640914,4727,11631
University of Massachusetts at Amherst,Public,MA,https://www.bostonglobe.com/2020/06/29/metro/umass-amherst-classes-will-be-mostly-remote-students-can-choose-return-campus/,Proposing a hybrid model,7/22/2020,TRUE,Symptomatic,TRUE,FALSE,0,,,#N/A,#N/A,#N/A
University of Massachusetts at Boston,Public,MA,https://www.umb.edu/coronavirus,Planning for online,7/30/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
University of Massachusetts at Dartmouth,Public,MA,https://www.umassd.edu/emergency/coronavirus/fall-planning-2020/,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,TRUE,FALSE,0,,,#N/A,#N/A,#N/A
University of Massachusetts at Lowell,Public,MA,https://www.uml.edu/alert/coronavirus/returning/,Proposing a hybrid model,7/27/2020,TRUE,Both asymptomatic and symptomatic,TRUE,TRUE,1,,,#N/A,#N/A,#N/A
University of Memphis,Public,TN,https://www.memphis.edu/coronavirusupdates/sick/index.php,Planning for in-person,7/30/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,216221444,21458,12788
University of Miami,Private,FL,https://coronavirus.miami.edu/health-wellness-and-testing/index.html,Planning for in-person,7/30/2020,TRUE,Symptomatic,TRUE,TRUE,,,,1021508292,17331,58728
University of Michigan at Ann Arbor,Public,MI,https://campusblueprint.umich.edu/fall-announcement,Proposing a hybrid model,8/11/2020,TRUE,Symptomatic,Unknown,Unknown,,,Unknown,12440000000,46002,270423.0251
University of Michigan at Dearborn,Public,MI,https://umdearborn.edu/offices/external-relations/key-issues/um-dearborn-covid-19-response/students,Proposing a hybrid model,7/30/2020,Unknown,Unknown,Unknown,Unknown,,,,#N/A,#N/A,#N/A
University of Michigan at Flint,Public,MI,https://www.umflint.edu/blueprint/chancellor-duttas-message-campus,Proposing a hybrid model,7/30/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
University of Minnesota,Public,MN,http://view.ecommunications2.umn.edu/?qs=0526b1dda846d2cd03ccc9ae96cbfd4bb04569f93e902211ffd91a96833cfe47dd51fc7fb6c9f446da94324235a17248918baf0bcf7b662f7e6c3af8ca8146c33421230cee9d945c78e8cae944d4576c,Planning for in-person,7/27/2020,TRUE,Both asymptomatic and symptomatic,FALSE,FALSE,0,,Unknown,#N/A,#N/A,#N/A
University of Missouri,Public,MO,https://renewal.missouri.edu/plan/,Proposing a hybrid model,8/17/2020,TRUE,Symptomatic,FALSE,FALSE,,,,820000000,"30,046",27291
University of Missouri at Kansas City,Public,MO,https://www.umkc.edu/news/posts/2020/april/we-are-rooready-for-fall-semester-classes.html,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
University of Missouri at Kansas City,Public,MO,https://www.umkc.edu/news/posts/2020/april/we-are-rooready-for-fall-semester-classes.html,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
University of Mobile,Private,AL,https://umobile.edu/news/university-of-mobile-plans-to-return-to-on-campus-instruction-in-fall/,Planning for in-person,,,,,,,,,22606173,1885,17074
University of Montana,Public,MT,https://www.umt.edu/coronavirus/communications/may7_president.php,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
University of Montevallo,Public,AL,https://www.montevallo.edu/about-um/marcomm/coronavirus-information/may-1/,Planning for in-person,,,,,,,,,21923587,2612,8959
University of Nebraska — all system campuses,Public,NE,https://www.omaha.com/news/education/unl-expects-to-hold-on-campus-classes-in-the-fall-chancellor-says/article_3c549fae-b83e-5dce-b4e4-bf159513b178.html,,,,,,,,,,#N/A,#N/A,#N/A
University of Nebraska — Kearney,Public,NE,https://covid19.unl.edu/docs/F2F-Guiding-Framework.pdff,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
University of Nebraska — Lincoln,Public,NE,,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
