NCES,District,State,Public School Enrollment,Last verified,District reopening plan,Start date,Link
2628950,Portage Public Schools,MI,"8,804",8/31/20,Hybrid/Partial,8/31/20,"<a href=""https://portageps.org/departments/curriculum/return-to-learn/"" target=""_blank"">🔗</a>"
4401110,Warwick,RI,"8,800",9/14/20,Remote learning only,9/14/20,"<a href=""https://www.warwickschools.org/"" target=""_blank"">🔗</a>"
1303510,Marietta City,GA,"8,772",8/4/20,Remote learning only,8/4/20,"<a href=""https://www.marietta-city.org/reopening"" target=""_blank"">🔗</a>"
3627060,Smithtown Central School District,NY,"8,727",9/11/20,Hybrid/Partial,9/8/20,"<a href=""http://www.smithtown.k12.ny.us/"" target=""_blank"">🔗</a>"
5601470,Campbell County School District #1,WY,"8,721",8/24/20,Full in-person reopening available for all students,8/24/20,"<a href=""https://www.ccsd.k12.wy.us/"" target=""_blank"">🔗</a>"
2711040,Duluth Public School District,MN,"8,706",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.isd709.org/fall-planning-2020/return-to-learn-q-a"" target=""_blank"">🔗</a>"
1802490,Crown Point Community School Corp,IN,"8,705",8/24/20,Hybrid/Partial,8/24/20,"<a href=""https://www.cps.k12.in.us/"" target=""_blank"">🔗</a>"
2802280,Jones Co School Dist,MS,"8,701",8/25/20,Hybrid/Partial,8/7/20,"<a href=""http://www.jones.k12.ms.us/"" target=""_blank"">🔗</a>"
0610620,Davis Joint Unified,CA,"8,587",8/26/20,Remote learning only,8/26/20,"<a href=""https://djusd.net/covid-19/restart_djusd"" target=""_blank"">🔗</a>"
1201320,Monroe,FL,"8,578",8/19/20,Remote learning only,8/19/20,"<a href=""https://www.keysschools.com/"" target=""_blank"">🔗</a>"
3402280,Bridgewater-Raritan Regional School District,NJ,"8,569",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.brrsd.org/about/news-events/news-detail/~board/all-schools/post/2020-08-21-september-reopening-virtual-only"" target=""_blank"">🔗</a>"
2738190,Stillwater Area Public School Dist.,MN,"8,554",9/9/20,Hybrid/Partial,9/8/20,"<a href=""https://stillwaterschools.org/district/district-discussions/smart-restart-planning-fall-2020"" target=""_blank"">🔗</a>"
2711250,Edina Public School District,MN,"8,510",9/9/20,Hybrid/Partial,9/8/20,"<a href=""https://www.edinaschools.org/"" target=""_blank"">🔗</a>"
3417580,West New York Board Of Education,NJ,"8,498",9/11/20,Remote learning only,9/10/20,"<a href=""http://www.wnyschools.net/district/default.asp"" target=""_blank"">🔗</a>"
4704380,Washington County,TN,"8,431",8/3/20,Remote learning only,8/3/20,"<a href=""https://www.wcde.org/"" target=""_blank"">🔗</a>"
0621600,Liberty Union High,CA,"8,320",8/10/20,Remote learning only,8/10/20,"<a href=""https://ca01001129.schoolwires.net/"" target=""_blank"">🔗</a>"
5102340,Lynchburg City Pblc Schs,VA,"8,263",8/24/20,Remote learning only,8/24/20,"<a href=""https://www.lcsedu.net/return-to-learn"" target=""_blank"">🔗</a>"
4208550,East Penn Sd,PA,"8,242",8/31/20,Hybrid/Partial,8/31/20,"<a href=""https://www.eastpennsd.org/"" target=""_blank"">🔗</a>"
5516260,West Allis-West Milwaukee School District,WI,"8,240",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.wawm.k12.wi.us/"" target=""_blank"">🔗</a>"
5101050,Culpeper Co Pblc Schs,VA,"8,235",8/24/20,Hybrid/Partial,8/24/20,"<a href=""https://sites.google.com/ccpsweb.org/ccpsreturntolearning/home"" target=""_blank"">🔗</a>"
0635670,Santa Maria Joint Union High,CA,"8,166",8/18/20,Remote learning only,8/17/20,"<a href=""http://www.smjuhsd.k12.ca.us/?L=1&DivisionID=24306&TabNo=2"" target=""_blank"">🔗</a>"
2505970,Haverhill,MA,"8,047",9/18/20,Remote learning only,9/16/20,"<a href=""https://www.haverhill-ps.org/haverhill-public-school-opening-plan-2020-2021/"" target=""_blank"">🔗</a>"
1000180,Caesar Rodney School District,DE,"8,018",9/9/20,Hybrid/Partial,9/8/20,"<a href=""https://www.crk12.org/"" target=""_blank"">🔗</a>"
1304200,Polk County,GA,"7,908",8/22/20,Full in-person reopening available for all students,8/3/20,"<a href=""https://www.polk.k12.ga.us/userfiles/6/my%20files/cover%20letter.pdf?id=261576"" target=""_blank"">🔗</a>"
2503150,Brookline,MA,"7,855",9/16/20,Remote learning only,9/16/20,"<a href=""https://www.brookline.k12.ma.us/site/default.aspx?PageType=3&ModuleInstanceID=4926&ViewID=7b97f7ed-8e5e-4120-848f-a8b4987d588f&RenderLoc=0&FlexDataID=8812&PageID=2639"" target=""_blank"">🔗</a>"
0406810,Queen Creek Unified District (4245),AZ,"7,790",8/12/20,Remote learning only,8/3/20,"<a href=""https://www.qcusd.org/Home"" target=""_blank"">🔗</a>"
2804470,Vicksburg Warren School Dist,MS,"7,775",8/17/20,Full in-person reopening available for all students,8/17/20,"<a href=""https://www.vwsd.org/"" target=""_blank"">🔗</a>"
2400540,Queen Anne's County Public Schools,MD,"7,749",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.qacps.org/qacps"" target=""_blank"">🔗</a>"
3904696,Gahanna-Jefferson City,OH,"7,726",8/24/20,Remote learning only,8/24/20,"<a href=""http://www.gahannaschools.org/District/BackToSchool.aspx"" target=""_blank"">🔗</a>"
5102360,Manassas City Pblc Schs,VA,"7,723",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.mcpsva.org/"" target=""_blank"">🔗</a>"
2732430,Roseville Public School District,MN,"7,655",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.isd623.org/"" target=""_blank"">🔗</a>"
3402640,Camden City School District,NJ,"7,638",9/9/20,Remote learning only,9/8/20,"<a href=""http://camdencity.ss12.sharpschool.com/cms/One.aspx?portalId=340877&pageId=472907"" target=""_blank"">🔗</a>"
2625740,Grosse Pointe Public Schools,MI,"7,630",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.gpschools.org/Page/21190"" target=""_blank"">🔗</a>"
2006390,Garden City,KS,"7,627",8/31/20,Full in-person reopening available for all students,8/31/20,"<a href=""https://www.gckschools.com/starting_school_2020"" target=""_blank"">🔗</a>"
3411460,North Bergen School District,NJ,"7,576",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.northbergen.k12.nj.us/"" target=""_blank"">🔗</a>"
1713530,Edwardsville Cusd 7,IL,"7,569",8/13/20,Hybrid/Partial,8/13/20,"<a href=""http://ecusd7.org/district-reopening"" target=""_blank"">🔗</a>"
2510050,Revere,MA,"7,544",9/18/20,Remote learning only,9/16/20,"<a href=""http://www.reverek12.org/"" target=""_blank"">🔗</a>"
3904700,Reynoldsburg City,OH,"7,520",8/24/20,Remote learning only,8/24/20,"<a href=""https://www.reyn.org/COVID19Updates.aspx"" target=""_blank"">🔗</a>"
4216980,Norristown Area Sd,PA,"7,491",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.nasd.k12.pa.us/Page/983"" target=""_blank"">🔗</a>"
3808130,Grand Forks 1,ND,"7,471",8/31/20,Full in-person reopening available for all students,8/31/20,"<a href=""https://www.gfschools.org/"" target=""_blank"">🔗</a>"
3407230,Hillsborough Township Public School District,NJ,"7,457",9/8/20,Remote learning only,9/4/20,"<a href=""https://www.htps.us/cms/One.aspx?portalId=791117&pageId=43656167"" target=""_blank"">🔗</a>"
5300810,Camas School District,WA,"7,452",9/1/20,Remote learning only,9/1/20,"<a href=""http://www.camas.wednet.edu/"" target=""_blank"">🔗</a>"
4503660,Spartanburg 07,SC,"7,444",8/18/20,Hybrid/Partial,8/17/20,"<a href="""" target=""_blank"">🔗</a>"
2102710,Henderson County,KY,"7,437",8/26/20,Remote learning only,8/26/20,"<a href=""https://www.henderson.kyschools.us/"" target=""_blank"">🔗</a>"
1915450,Johnston Comm School District,IA,"7,395",8/31/20,Hybrid/Partial,8/31/20,"<a href=""https://www.johnstoncsd.org/"" target=""_blank"">🔗</a>"
2509720,Plymouth,MA,"7,394",9/17/20,Hybrid/Partial,9/16/20,"<a href=""https://www.plymouth.k12.ma.us/Page/4234"" target=""_blank"">🔗</a>"
